externalId,quantity,unitPrice
EXT-DUP-001,1,10.0
EXT-DUP-001,2,20.0
EXT-DUP-002,1,10.0
EXT-DUP-002,2,20.0
EXT-DUP-003,1,10.0
EXT-DUP-003,2,20.0
EXT-DUP-004,1,10.0
EXT-DUP-004,2,20.0
EXT-DUP-005,1,10.0
EXT-DUP-005,2,20.0
EXT-DUP-006,1,10.0
EXT-DUP-006,2,20.0
EXT-DUP-007,1,10.0
EXT-DUP-007,2,20.0
EXT-DUP-008,1,10.0
EXT-DUP-008,2,20.0
EXT-DUP-009,1,10.0
EXT-DUP-009,2,20.0
EXT-DUP-010,1,10.0
EXT-DUP-010,2,20.0
EXT-DUP-011,1,10.0
EXT-DUP-011,2,20.0
EXT-DUP-012,1,10.0
EXT-DUP-012,2,20.0
EXT-DUP-013,1,10.0
EXT-DUP-013,2,20.0
EXT-DUP-014,1,10.0
EXT-DUP-014,2,20.0
EXT-DUP-015,1,10.0
EXT-DUP-015,2,20.0
EXT-DUP-016,1,10.0
EXT-DUP-016,2,20.0
EXT-DUP-017,1,10.0
EXT-DUP-017,2,20.0
EXT-DUP-018,1,10.0
EXT-DUP-018,2,20.0
EXT-DUP-019,1,10.0
EXT-DUP-019,2,20.0
EXT-DUP-020,1,10.0
EXT-DUP-020,2,20.0
EXT-DUP-021,1,10.0
EXT-DUP-021,2,20.0
EXT-DUP-022,1,10.0
EXT-DUP-022,2,20.0
EXT-DUP-023,1,10.0
EXT-DUP-023,2,20.0
EXT-DUP-024,1,10.0
EXT-DUP-024,2,20.0
EXT-DUP-025,1,10.0
EXT-DUP-025,2,20.0
EXT-DUP-026,1,10.0
EXT-DUP-026,2,20.0
EXT-DUP-027,1,10.0
EXT-DUP-027,2,20.0
EXT-DUP-028,1,10.0
EXT-DUP-028,2,20.0
EXT-DUP-029,1,10.0
EXT-DUP-029,2,20.0
EXT-DUP-030,1,10.0
EXT-DUP-030,2,20.0
EXT-DUP-031,1,10.0
EXT-DUP-031,2,20.0
EXT-DUP-032,1,10.0
EXT-DUP-032,2,20.0
EXT-DUP-033,1,10.0
EXT-DUP-033,2,20.0
EXT-DUP-034,1,10.0
EXT-DUP-034,2,20.0
EXT-DUP-035,1,10.0
EXT-DUP-035,2,20.0
EXT-DUP-036,1,10.0
EXT-DUP-036,2,20.0
EXT-DUP-037,1,10.0
EXT-DUP-037,2,20.0
EXT-DUP-038,1,10.0
EXT-DUP-038,2,20.0
EXT-DUP-039,1,10.0
EXT-DUP-039,2,20.0
EXT-DUP-040,1,10.0
EXT-DUP-040,2,20.0
EXT-DUP-041,1,10.0
EXT-DUP-041,2,20.0
EXT-DUP-042,1,10.0
EXT-DUP-042,2,20.0
EXT-DUP-043,1,10.0
EXT-DUP-043,2,20.0
EXT-DUP-044,1,10.0
EXT-DUP-044,2,20.0
EXT-DUP-045,1,10.0
EXT-DUP-045,2,20.0
EXT-DUP-046,1,10.0
EXT-DUP-046,2,20.0
EXT-DUP-047,1,10.0
EXT-DUP-047,2,20.0
EXT-DUP-048,1,10.0
EXT-DUP-048,2,20.0
EXT-DUP-049,1,10.0
EXT-DUP-049,2,20.0
EXT-DUP-050,1,10.0
EXT-DUP-050,2,20.0
EXT-QTY-ZERO-001,0,10.0
EXT-QTY-ZERO-002,0,10.0
EXT-QTY-ZERO-003,0,10.0
EXT-QTY-ZERO-004,0,10.0
EXT-QTY-ZERO-005,0,10.0
EXT-QTY-ZERO-006,0,10.0
EXT-QTY-ZERO-007,0,10.0
EXT-QTY-ZERO-008,0,10.0
EXT-QTY-ZERO-009,0,10.0
EXT-QTY-ZERO-010,0,10.0
EXT-QTY-ZERO-011,0,10.0
EXT-QTY-ZERO-012,0,10.0
EXT-QTY-ZERO-013,0,10.0
EXT-QTY-ZERO-014,0,10.0
EXT-QTY-ZERO-015,0,10.0
EXT-QTY-ZERO-016,0,10.0
EXT-QTY-ZERO-017,0,10.0
EXT-QTY-ZERO-018,0,10.0
EXT-QTY-ZERO-019,0,10.0
EXT-QTY-ZERO-020,0,10.0
EXT-QTY-ZERO-021,0,10.0
EXT-QTY-ZERO-022,0,10.0
EXT-QTY-ZERO-023,0,10.0
EXT-QTY-ZERO-024,0,10.0
EXT-QTY-ZERO-025,0,10.0
EXT-QTY-ZERO-026,0,10.0
EXT-QTY-ZERO-027,0,10.0
EXT-QTY-ZERO-028,0,10.0
EXT-QTY-ZERO-029,0,10.0
EXT-QTY-ZERO-030,0,10.0
EXT-QTY-NEG-001,-5,10.0
EXT-QTY-NEG-002,-5,10.0
EXT-QTY-NEG-003,-5,10.0
EXT-QTY-NEG-004,-5,10.0
EXT-QTY-NEG-005,-5,10.0
EXT-QTY-NEG-006,-5,10.0
EXT-QTY-NEG-007,-5,10.0
EXT-QTY-NEG-008,-5,10.0
EXT-QTY-NEG-009,-5,10.0
EXT-QTY-NEG-010,-5,10.0
EXT-QTY-NEG-011,-5,10.0
EXT-QTY-NEG-012,-5,10.0
EXT-QTY-NEG-013,-5,10.0
EXT-QTY-NEG-014,-5,10.0
EXT-QTY-NEG-015,-5,10.0
EXT-QTY-NEG-016,-5,10.0
EXT-QTY-NEG-017,-5,10.0
EXT-QTY-NEG-018,-5,10.0
EXT-QTY-NEG-019,-5,10.0
EXT-QTY-NEG-020,-5,10.0
EXT-QTY-NEG-021,-5,10.0
EXT-QTY-NEG-022,-5,10.0
EXT-QTY-NEG-023,-5,10.0
EXT-QTY-NEG-024,-5,10.0
EXT-QTY-NEG-025,-5,10.0
EXT-QTY-NEG-026,-5,10.0
EXT-QTY-NEG-027,-5,10.0
EXT-QTY-NEG-028,-5,10.0
EXT-QTY-NEG-029,-5,10.0
EXT-QTY-NEG-030,-5,10.0
EXT-PRICE-NEG-001,1,-1.0
EXT-PRICE-NEG-002,1,-1.0
EXT-PRICE-NEG-003,1,-1.0
EXT-PRICE-NEG-004,1,-1.0
EXT-PRICE-NEG-005,1,-1.0
EXT-PRICE-NEG-006,1,-1.0
EXT-PRICE-NEG-007,1,-1.0
EXT-PRICE-NEG-008,1,-1.0
EXT-PRICE-NEG-009,1,-1.0
EXT-PRICE-NEG-010,1,-1.0
EXT-PRICE-NEG-011,1,-1.0
EXT-PRICE-NEG-012,1,-1.0
EXT-PRICE-NEG-013,1,-1.0
EXT-PRICE-NEG-014,1,-1.0
EXT-PRICE-NEG-015,1,-1.0
EXT-PRICE-NEG-016,1,-1.0
EXT-PRICE-NEG-017,1,-1.0
EXT-PRICE-NEG-018,1,-1.0
EXT-PRICE-NEG-019,1,-1.0
EXT-PRICE-NEG-020,1,-1.0
EXT-PRICE-NEG-021,1,-1.0
EXT-PRICE-NEG-022,1,-1.0
EXT-PRICE-NEG-023,1,-1.0
EXT-PRICE-NEG-024,1,-1.0
EXT-PRICE-NEG-025,1,-1.0
EXT-PRICE-NEG-026,1,-1.0
EXT-PRICE-NEG-027,1,-1.0
EXT-PRICE-NEG-028,1,-1.0
EXT-PRICE-NEG-029,1,-1.0
EXT-PRICE-NEG-030,1,-1.0
EXT-NOTFOUND-0001,1,50.0
EXT-NOTFOUND-0002,1,50.0
EXT-NOTFOUND-0003,1,50.0
EXT-NOTFOUND-0004,1,50.0
EXT-NOTFOUND-0005,1,50.0
EXT-NOTFOUND-0006,1,50.0
EXT-NOTFOUND-0007,1,50.0
EXT-NOTFOUND-0008,1,50.0
EXT-NOTFOUND-0009,1,50.0
EXT-NOTFOUND-0010,1,50.0
EXT-NOTFOUND-0011,1,50.0
EXT-NOTFOUND-0012,1,50.0
EXT-NOTFOUND-0013,1,50.0
EXT-NOTFOUND-0014,1,50.0
